Best mrcpsp: {'hidden_nodes': 16, 'hidden_layers': 2, 'lr': 1e-05}
Best rcpsp:


------- MRCPSP -------
Best parameters set found on training set:

{'hidden_nodes': 16, 'hidden_layers': 2, 'lr': 1e-05}

Grid scores on training set:

77.948 (+/-74.357) for {'hidden_nodes': 16, 'hidden_layers': 2, 'lr': 0.1}
96.973 (+/-140.259) for {'hidden_nodes': 16, 'hidden_layers': 2, 'lr': 0.01}
320.004 (+/-194.532) for {'hidden_nodes': 16, 'hidden_layers': 2, 'lr': 0.001}
3046.520 (+/-1493.152) for {'hidden_nodes': 16, 'hidden_layers': 2, 'lr': 0.0001}
3324.328 (+/-1950.741) for {'hidden_nodes': 16, 'hidden_layers': 2, 'lr': 1e-05}
92.223 (+/-71.407) for {'hidden_nodes': 32, 'hidden_layers': 2, 'lr': 0.1}
101.639 (+/-138.260) for {'hidden_nodes': 32, 'hidden_layers': 2, 'lr': 0.01}
175.068 (+/-70.398) for {'hidden_nodes': 32, 'hidden_layers': 2, 'lr': 0.001}
2807.701 (+/-2399.569) for {'hidden_nodes': 32, 'hidden_layers': 2, 'lr': 0.0001}
3152.944 (+/-1829.720) for {'hidden_nodes': 32, 'hidden_layers': 2, 'lr': 1e-05}
99.230 (+/-118.499) for {'hidden_nodes': 64, 'hidden_layers': 2, 'lr': 0.1}
83.429 (+/-133.433) for {'hidden_nodes': 64, 'hidden_layers': 2, 'lr': 0.01}
97.669 (+/-51.911) for {'hidden_nodes': 64, 'hidden_layers': 2, 'lr': 0.001}
2263.027 (+/-2243.539) for {'hidden_nodes': 64, 'hidden_layers': 2, 'lr': 0.0001}
3144.827 (+/-2034.227) for {'hidden_nodes': 64, 'hidden_layers': 2, 'lr': 1e-05}
911.300 (+/-1900.511) for {'hidden_nodes': 128, 'hidden_layers': 2, 'lr': 0.1}
75.544 (+/-97.147) for {'hidden_nodes': 128, 'hidden_layers': 2, 'lr': 0.01}
53.358 (+/-46.876) for {'hidden_nodes': 128, 'hidden_layers': 2, 'lr': 0.001}
926.177 (+/-992.624) for {'hidden_nodes': 128, 'hidden_layers': 2, 'lr': 0.0001}
3063.940 (+/-1735.518) for {'hidden_nodes': 128, 'hidden_layers': 2, 'lr': 1e-05}
114.087 (+/-129.801) for {'hidden_nodes': 16, 'hidden_layers': 3, 'lr': 0.1}
79.553 (+/-139.402) for {'hidden_nodes': 16, 'hidden_layers': 3, 'lr': 0.01}
156.855 (+/-86.333) for {'hidden_nodes': 16, 'hidden_layers': 3, 'lr': 0.001}
2865.756 (+/-1847.757) for {'hidden_nodes': 16, 'hidden_layers': 3, 'lr': 0.0001}
3277.308 (+/-2297.722) for {'hidden_nodes': 16, 'hidden_layers': 3, 'lr': 1e-05}
80.229 (+/-67.710) for {'hidden_nodes': 32, 'hidden_layers': 3, 'lr': 0.1}
73.286 (+/-155.948) for {'hidden_nodes': 32, 'hidden_layers': 3, 'lr': 0.01}
65.179 (+/-34.825) for {'hidden_nodes': 32, 'hidden_layers': 3, 'lr': 0.001}
2445.435 (+/-2248.458) for {'hidden_nodes': 32, 'hidden_layers': 3, 'lr': 0.0001}
3176.333 (+/-1703.435) for {'hidden_nodes': 32, 'hidden_layers': 3, 'lr': 1e-05}
231.897 (+/-572.639) for {'hidden_nodes': 64, 'hidden_layers': 3, 'lr': 0.1}
46.172 (+/-32.484) for {'hidden_nodes': 64, 'hidden_layers': 3, 'lr': 0.01}
44.781 (+/-46.136) for {'hidden_nodes': 64, 'hidden_layers': 3, 'lr': 0.001}
1042.579 (+/-1729.861) for {'hidden_nodes': 64, 'hidden_layers': 3, 'lr': 0.0001}
2805.973 (+/-1882.912) for {'hidden_nodes': 64, 'hidden_layers': 3, 'lr': 1e-05}
254.390 (+/-642.251) for {'hidden_nodes': 128, 'hidden_layers': 3, 'lr': 0.1}
88.447 (+/-91.540) for {'hidden_nodes': 128, 'hidden_layers': 3, 'lr': 0.01}
45.578 (+/-87.437) for {'hidden_nodes': 128, 'hidden_layers': 3, 'lr': 0.001}
135.129 (+/-202.172) for {'hidden_nodes': 128, 'hidden_layers': 3, 'lr': 0.0001}
2663.696 (+/-2169.647) for {'hidden_nodes': 128, 'hidden_layers': 3, 'lr': 1e-05}
109.849 (+/-74.963) for {'hidden_nodes': 16, 'hidden_layers': 5, 'lr': 0.1}
